hub_id,route_arr_name,route_dep_name,direction_id,offset_sec,offset_min,rescued_near_misses,newly_created_misses,baseline_total_wait_minutes,simulated_total_wait_minutes,wait_minutes_saved,wait_minutes_added,total_evaluated,block_feasible,violating_trips,min_remaining_layover_sec
cluster_107,207,GREEN,0,-180,-3.0,35,0,4010.5,3719.5,291.0,0.0,337,True,0,120.0
cluster_107,213,GREEN,0,-180,-3.0,0,36,3692.7,4000.7,0.0,308.0,384,True,0,120.0
cluster_107,GREEN,207,0,-180,-3.0,8,0,2346.1,2084.2,262.0,0.0,109,True,0,120.0
cluster_107,GREEN,207,1,-180,-3.0,2,0,2218.3,2285.9,0.0,67.6,110,True,0,120.0
cluster_107,GREEN,213,0,-180,-3.0,0,5,1723.6,1886.0,0.0,162.4,112,True,0,120.0
cluster_107,GREEN,213,1,-180,-3.0,0,4,2092.3,2038.5,53.8,0.0,114,True,0,120.0
cluster_107,GREEN,GREEN,0,-180,-3.0,0,0,460.5,295.5,165.0,0.0,55,True,0,120.0
cluster_107,GREEN,GREEN,1,-180,-3.0,3,0,565.0,630.0,0.0,65.0,54,True,0,120.0
cluster_107,GREEN,ORANGE,0,-180,-3.0,0,0,1041.5,1212.5,0.0,171.0,115,True,0,120.0
cluster_107,GREEN,ORANGE,1,-180,-3.0,0,0,933.0,1110.0,0.0,177.0,114,True,0,120.0
cluster_107,ORANGE,GREEN,0,-180,-3.0,0,53,918.0,1676.0,0.0,758.0,114,True,0,120.0
cluster_14,001,GREEN,0,-180,-3.0,0,15,7866.1,7924.8,0.0,58.7,961,True,0,120.0
cluster_14,009,GREEN,0,-180,-3.0,2,0,15252.8,15591.6,0.0,338.8,1740,True,0,120.0
cluster_14,018,GREEN,0,-180,-3.0,178,0,12861.9,10104.4,2757.5,0.0,1093,True,0,120.0
cluster_14,023,GREEN,0,-180,-3.0,0,91,4333.2,4670.7,0.0,337.5,590,True,0,120.0
cluster_14,214,GREEN,0,-180,-3.0,0,34,2127.8,2507.2,0.0,379.3,294,True,0,120.0
cluster_14,249,GREEN,0,-180,-3.0,29,0,5896.8,5871.3,25.5,0.0,704,True,0,120.0
cluster_14,421,GREEN,0,-180,-3.0,1,0,1114.1,956.1,158.0,0.0,126,True,0,120.0
cluster_14,GREEN,001,0,-180,-3.0,0,0,739.7,771.6,0.0,32.0,230,True,0,120.0
cluster_14,GREEN,001,1,-180,-3.0,0,7,888.6,945.9,0.0,57.3,231,True,0,120.0
cluster_14,GREEN,009,0,-180,-3.0,0,0,620.8,623.9,0.0,3.1,232,True,0,120.0
cluster_14,GREEN,009,1,-180,-3.0,0,1,628.5,621.2,7.3,0.0,228,True,0,120.0
cluster_14,GREEN,018,0,-180,-3.0,0,5,447.4,625.5,0.0,178.1,231,True,0,120.0
cluster_14,GREEN,018,1,-180,-3.0,0,2,451.1,541.7,0.0,90.7,232,True,0,120.0
cluster_14,GREEN,023,0,-180,-3.0,0,68,2875.4,3035.9,0.0,160.4,235,True,0,120.0
cluster_14,GREEN,023,1,-180,-3.0,0,4,787.1,1141.1,0.0,354.0,234,True,0,120.0
cluster_14,GREEN,214,0,-180,-3.0,0,0,4107.6,3742.4,365.2,0.0,229,True,0,120.0
cluster_14,GREEN,214,1,-180,-3.0,0,6,3377.2,3695.3,0.0,318.1,223,True,0,120.0
cluster_14,GREEN,249,0,-180,-3.0,0,11,2908.4,3155.3,0.0,246.9,224,True,0,120.0
cluster_14,GREEN,249,1,-180,-3.0,11,0,2991.0,2650.9,340.1,0.0,222,True,0,120.0
cluster_14,GREEN,421,0,-180,-3.0,0,9,6593.0,6785.5,0.0,192.5,163,True,0,120.0
cluster_14,GREEN,421,1,-180,-3.0,0,10,6444.8,6661.1,0.0,216.3,164,True,0,120.0
cluster_14,GREEN,BLUE,0,-180,-3.0,0,0,5.5,5.0,0.5,0.0,5,True,0,120.0
cluster_14,GREEN,GREEN,0,-180,-3.0,0,0,1033.0,1573.0,0.0,540.0,116,True,0,120.0
cluster_14,GREEN,GREEN,1,-180,-3.0,48,0,937.5,262.0,675.5,0.0,114,True,0,120.0
cluster_14,GREEN,ORANGE,0,-180,-3.0,0,1,254.0,272.0,0.0,18.0,18,True,0,120.0
cluster_14,GREEN,ORANGE,1,-180,-3.0,0,0,326.5,350.5,0.0,24.0,14,True,0,120.0
cluster_14,ORANGE,GREEN,0,-180,-3.0,0,0,121.0,87.0,34.0,0.0,12,True,0,120.0
cluster_168,020,GREEN,0,-180,-3.0,59,0,7668.5,6916.5,752.0,0.0,762,True,0,120.0
cluster_168,213,GREEN,0,-180,-3.0,5,0,1195.9,979.9,216.0,0.0,132,True,0,120.0
