hub_id,total_failed_connections,avg_penalty_minutes,max_penalty_minutes
J B JACKSON JR TRANSIT CENTER,18,74.4675925925926,117.36666666666667
SPRING VALLEY STATION,15,73.78333333333333,117.0
FARMERS BRANCH STATION,11,73.11363636363636,118.61666666666667
SMU/MOCKINGBIRD STATION,24,72.325,119.8
PEARL/ARTS DISTRICT STATION,14,70.76785714285714,118.51666666666665
EBJ UNION STATION,10,70.17,113.4
SHILOH @ NORTHWEST - N - FS,10,70.00500000000001,109.30000000000001
DOWNTOWN GARLAND STATION,35,69.04095238095238,119.63333333333333
ILLINOIS @ COOMBS CREEK - W - NS,10,68.26166666666667,114.4
HOUSTON @ MAIN - S - NS,10,67.92666666666666,108.98333333333333
AKARD STATION,18,67.85277777777777,118.1
ST PAUL STATION,14,67.56309523809524,119.56666666666666
ELM @ ERVAY - W - NS,27,67.30123456790123,116.83333333333334
TYLER VERNON STATION,13,67.16410256410256,118.13333333333333
WEST END STATION,15,67.02555555555556,118.36666666666667
DOWNTOWN IRVING/HERITAGE CROSSING STATION,15,65.73777777777778,114.73333333333332
LBJ / CENTRAL STATION,10,65.48333333333333,119.83333333333334
ILLINOIS @ COOMBS CREEK - E - NS,10,65.29666666666667,109.76666666666667
HARWOOD @ ELM - N - MB,11,65.25151515151515,114.5
ELM @ GRIFFIN - W - MB,30,64.91777777777777,116.43333333333334
8TH & CORINTH STATION,25,63.858000000000004,117.66666666666666
ELM @ HARWOOD - W - NS,26,63.78974358974359,117.66666666666666
PARK LANE STATION,17,63.535294117647055,116.19999999999999
ARAPAHO CENTER STATION,14,62.87142857142857,116.73333333333332
ELM @ LAMAR - W - NS,26,62.396153846153844,117.86666666666667
CONVENTION CENTER STATION,12,62.395833333333336,103.6
SOUTH GARLAND TC,53,62.17169811320755,116.66666666666666
ELM @ AKARD - W - NS,30,62.09222222222222,119.0
COMMERCE @ AUSTIN - E - NS,14,62.016666666666666,118.43333333333334
ILLINOIS @ ANDREWS - W - NS,10,61.8,111.9
CBD EAST TC,34,61.65833333333333,117.6
LAWNVIEW STATION,10,61.34166666666666,108.86666666666667
COMMERCE @ GRIFFIN - E - MB,17,61.24019607843137,111.28333333333333
NORTHWEST @ MCCREE - W - NS,10,61.19166666666666,118.6
NORTHWEST @ SHILOH - W - FS,11,60.81969696969697,102.83333333333333
NORTHWEST PLANO PARK & RIDE,11,60.32575757575758,114.0
ADDISON TRANSIT CENTER,43,60.09418604651163,117.01666666666668
COCKRELL HILL TL,15,60.07888888888889,117.9
COMMERCE @ FIELD - E - FS,28,59.19761904761905,106.63333333333333
SOUTHWEST MEDICAL DISTRICT/PARKLAND,32,58.659375,119.78333333333333
WESTMORELAND STATION,36,58.64907407407408,118.1
MEDICAL DISTRICT @ HARRY HINES - S - MB,14,58.601190476190474,119.4
LEDBETTER STATION,14,58.51428571428572,110.0
CITYLINE/BUSH STATION,14,58.208333333333336,120.0
CBD WEST TC,42,57.848015873015875,118.4
COMMERCE @ ERVAY - E - MB,28,57.69404761904762,107.08333333333334
ILLINOIS @ VALERIA - W - FS,10,57.59166666666666,119.03333333333333
CEDARS STATION,10,57.20166666666667,101.19999999999999
LAKE JUNE STATION,13,56.864102564102566,106.13333333333334
KIRNWOOD @ WHEATLAND - S - MB,14,56.75,94.0
PARKER ROAD STATION,17,56.35098039215686,116.73333333333332
COMMERCE @ LANE - E - NS,32,56.28854166666667,114.83333333333333
ILLINOIS TC/STATION,22,55.9810606060606,118.69999999999999
LAKE HIGHLANDS STATION,18,54.94907407407407,117.23333333333332
BACHMAN STATION,20,54.910000000000004,106.15
12TH STREET STATION,11,54.61818181818182,114.0
BUCKNER STATION,15,54.07666666666667,111.33333333333334
ILLINOIS @ COOMBS CREEK - W - MB,12,53.25,105.46666666666667
NORTHWEST @ MARKETPLACE - E - NS,10,53.233333333333334,118.05
LBJ / SKILLMAN STATION,16,51.98229166666667,106.16666666666667
FOREST / JUPITER STATION,18,51.84722222222222,102.6
ILLINOIS @ WESTMORELAND - E - NS,11,51.192424242424245,105.43333333333334
NORTHWEST @ EXECUTIVE - W - NS,12,51.12361111111111,115.9
DOWNTOWN PLANO STATION,11,49.559090909090905,88.73333333333333
BERNAL/SINGLETON TL,11,48.05,98.36666666666667
FOREST LN STATION,12,47.791666666666664,113.0
COMMERCE @ HARWOOD - E - NS,13,47.29230769230769,97.03333333333333
CAMP WISDOM STATION,19,45.968421052631584,111.30000000000001
INWOOD/LOVE FIELD STATION,15,44.238888888888894,106.56666666666666
FOREST @ BARNES - W - NS,10,39.980000000000004,80.30000000000001
